J05AF060510	Abacavir--Tableta recubierta-300 mg
N07CA01	NULL
N07CA02	NULL
N07CA03	NULL
N07CA04	NULL
N07CA52	NULL
N07XX01	NULL
N07XX02	NULL
N07XX03	NULL
N07XX04	NULL
N07XX05	NULL
N07XX06	NULL
P01AA01	NULL
P01AA02	NULL
P01AA04	NULL
P01AA05	NULL
P01AA52	NULL
P01AB03	NULL
P01AB04	NULL
P01AB05	NULL
P01AB06	NULL
P01AB07	NULL
P01AC01	NULL
P01AC02	NULL
P01AC03	NULL
P01AC04	NULL
P01AR01	NULL
P01AR02	NULL
P01AR03	NULL
P01AR53	NULL
P01AX01	NULL
P01AX02	NULL
P01AX04	NULL
P01AX05	NULL
P01AX06	NULL
P01AX07	NULL
P01AX08	NULL
P01AX09	NULL
P01AX10	NULL
P01AX11	NULL
P01AX52	NULL
P01BA02	NULL
P01BA06	NULL
P01BB01	NULL
P01BB02	NULL
P01BB51	NULL
P01BC02	NULL
P01BD01	NULL
P01BE01	NULL
P01BE02	NULL
P01BE04	NULL
P01BE05	NULL
P01BX01	NULL
P01CB02	NULL
P01CC01	NULL
P01CC02	NULL
P01CD01	NULL
P01CD02	NULL
P01CX01	NULL
P01CX02	NULL
P01CX03	NULL
P02BA02	NULL
P02BB01	NULL
P02BX02	NULL
P02BX03	NULL
P02BX04	NULL
P02CA01	NULL
P02CA02	NULL
P02CA04	NULL
P02CA05	NULL
P02CA06	NULL
P02CA51	NULL
P02CB01	NULL
P02CB02	NULL
P02CC01	NULL
P02CC02	NULL
P02CE01	NULL
P02CF01	NULL
P02CX01	NULL
P02CX02	NULL
P02DA01	NULL
P02DX01	NULL
P02DX02	NULL
P03AA01	NULL
P03AA02	NULL
P03AA03	NULL
P03AA04	NULL
P03AA05	NULL
P03AA54	NULL
P03AB01	NULL
P03AB02	NULL
P03AB51	NULL
P03AC01	NULL
P03AC02	NULL
P03AC03	NULL
P03AC04	NULL
P03AC51	NULL
P03AC52	NULL
P03AC53	NULL
P03AC54	NULL
P03AX02	NULL
P03AX03	NULL
P03AX04	NULL
P03BA01	NULL
P03BA02	NULL
P03BA03	NULL
P03BA04	NULL
P03BX01	NULL
P03BX02	NULL
P03BX03	NULL
P03BX04	NULL
P03BX05	NULL
P03BX06	NULL
R01AA02	NULL
R01AA03	NULL
R01AA04	NULL
R01AA06	NULL
R01AA07	NULL
R01AA08	NULL
R01AA09	NULL
R01AA10	NULL
R01AA11	NULL
R01AA12	NULL
R01AA13	NULL
R01AA14	NULL
R01AB01	NULL
R01AB02	NULL
R01AB03	NULL
R01AB05	NULL
R01AB06	NULL
R01AB07	NULL
R01AB08	NULL
R01AC01	NULL
R01AC02	NULL
R01AC03	NULL
R01AC04	NULL
R01AC05	NULL
R01AC06	NULL
R01AC07	NULL
R01AC08	NULL
R01AC51	NULL
R01AD01	NULL
R01AD02	NULL
R01AD03	NULL
R01AD04	NULL
R01AD05	NULL
R01AD06	NULL
R01AD07	NULL
R01AD08	NULL
R01AD11	NULL
R01AD12	NULL
R01AD52	NULL
R01AD53	NULL
R01AD57	NULL
R01AD60	NULL
R01AX01	NULL
R01AX02	NULL
R01AX03	NULL
R01AX05	NULL
R01AX06	NULL
R01AX07	NULL
R01AX08	NULL
R01AX10	NULL
R01AX30	NULL
R01BA01	NULL
R01BA02	NULL
R01BA03	NULL
R01BA51	NULL
R01BA52	NULL
R01BA53	NULL
R02AA01	NULL
R02AA02	NULL
R02AA03	NULL
R02AA05	NULL
R02AA06	NULL
R02AA09	NULL
R02AA10	NULL
R02AA11	NULL
R02AA12	NULL
R02AA13	NULL
R02AA14	NULL
R02AA15	NULL
R02AA16	NULL
R02AA17	NULL
R02AA18	NULL
R02AA19	NULL
R02AA20	NULL
R02AB01	NULL
R02AB02	NULL
R02AB03	NULL
R02AB04	NULL
R02AB30	NULL
R02AD01	NULL
R02AD02	NULL
R02AD03	NULL
R02AD04	NULL
R03AB02	NULL
R03AB03	NULL
R03AC03	NULL
R03AC04	NULL
R03AC05	NULL
R03AC06	NULL
R03AC07	NULL
R03AC08	NULL
R03AC09	NULL
R03AC10	NULL
R03AC11	NULL
R03AC12	NULL
R03AC13	NULL
R03AC14	NULL
R03AC15	NULL
R03AC16	NULL
R03AC17	NULL
R03AK01	NULL
R03AK02	NULL
R03AK03	NULL
R03AK04	NULL
R03AK05	NULL
R03AK06	NULL
R03AK07	NULL
R03BA02	NULL
R03BA03	NULL
R03BA04	NULL
R03BA05	NULL
R03BA06	NULL
R03BA07	NULL
R03BA08	NULL
R03BB02	NULL
R03BB03	NULL
R03BC01	NULL
R03BC03	NULL
R03BX01	NULL
R03CB01	NULL
R03CB02	NULL
R03CB03	NULL
R03CB51	NULL
R03CB53	NULL
R03CC03	NULL
R03CC04	NULL
R03CC05	NULL
R03CC06	NULL
R03CC07	NULL
R03CC08	NULL
R03CC09	NULL
R03CC10	NULL
R03CC11	NULL
R03CC12	NULL
R03CC13	NULL
R03CC14	NULL
R03CC53	NULL
R03DA01	NULL
R03DA02	NULL
R03DA03	NULL
R03DA04	NULL
R03DA06	NULL
R03DA07	NULL
R03DA08	NULL
R03DA09	NULL
R03DA10	NULL
R03DA11	NULL
R03DA20	NULL
R03DA51	NULL
R03DA54	NULL
R03DA55	NULL
R03DA57	NULL
R03DA74	NULL
R03DB01	NULL
R03DB02	NULL
R03DB03	NULL
R03DB04	NULL
R03DB05	NULL
R03DB06	NULL
R03DC01	NULL
R03DC02	NULL
R03DC03	NULL
R03DC04	NULL
R03DX01	NULL
R03DX02	NULL
R03DX03	NULL
R03DX05	NULL
R03DX06	NULL
R03DX07	NULL
R05CA01	NULL
R05CA02	NULL
R05CA03	NULL
R05CA04	NULL
R05CA05	NULL
R05CA06	NULL
R05CA07	NULL
R05CA08	NULL
R05CA09	NULL
R05CA10	NULL
R05CA11	NULL
R05CB02	NULL
R05CB03	NULL
R05CB04	NULL
R05CB05	NULL
R05CB06	NULL
R05CB07	NULL
R05CB08	NULL
R05CB09	NULL
R05CB10	NULL
R05CB11	NULL
R05CB12	NULL
R05CB14	NULL
R05CB15	NULL
R05DA01	NULL
R05DA03	NULL
R05DA05	NULL
R05DA06	NULL
R05DA07	NULL
R05DA08	NULL
R05DA09	NULL
R05DA10	NULL
R05DA11	NULL
R05DA12	NULL
R05DA20	NULL
R05DB01	NULL
R05DB02	NULL
R05DB03	NULL
R05DB04	NULL
R05DB05	NULL
R05DB07	NULL
R05DB09	NULL
R05DB10	NULL
R05DB11	NULL
R05DB12	NULL
R05DB13	NULL
R05DB14	NULL
R05DB15	NULL
R05DB16	NULL
R05DB17	NULL
R05DB18	NULL
R05DB19	NULL
R05DB20	NULL
R05DB21	NULL
R05DB22	NULL
R05DB23	NULL
R05DB24	NULL
R05DB25	NULL
R05DB26	NULL
R05DB27	NULL
R05DB28	NULL
R05FA01	NULL
R05FA02	NULL
R05FB01	NULL
R05FB02	NULL
R06AA01	NULL
R06AA04	NULL
R06AA06	NULL
R06AA07	NULL
R06AA08	NULL
R06AA09	NULL
R06AA52	NULL
R06AA54	NULL
R06AA56	NULL
R06AA57	NULL
R06AB01	NULL
R06AB02	NULL
R06AB03	NULL
R06AB04	NULL
R06AB05	NULL
R06AB06	NULL
R06AB07	NULL
R06AB51	NULL
R06AB52	NULL
R06AB54	NULL
R06AB56	NULL
R06AC01	NULL
R06AC02	NULL
R06AC03	NULL
R06AC04	NULL
R06AC05	NULL
R06AC06	NULL
R06AC52	NULL
R06AC53	NULL
R06AD01	NULL
R06AD02	NULL
R06AD03	NULL
R06AD04	NULL
R06AD05	NULL
R06AD06	NULL
R06AD07	NULL
R06AD08	NULL
R06AD09	NULL
R06AD52	NULL
R06AD55	NULL
R06AE01	NULL
R06AE03	NULL
R06AE04	NULL
R06AE05	NULL
R06AE06	NULL
R06AE07	NULL
R06AE09	NULL
R06AE51	NULL
R06AE53	NULL
R06AE55	NULL
R06AX01	NULL
R06AX02	NULL
R06AX03	NULL
R06AX04	NULL
R06AX05	NULL
R06AX07	NULL
R06AX08	NULL
R06AX09	NULL
R06AX11	NULL
R06AX12	NULL
R06AX15	NULL
R06AX16	NULL
R06AX17	NULL
R06AX18	NULL
R06AX19	NULL
R06AX21	NULL
R06AX22	NULL
R06AX23	NULL
R06AX24	NULL
R06AX25	NULL
R06AX26	NULL
R06AX27	NULL
R06AX28	NULL
R06AX53	NULL
R06AX58	NULL
R07AA01	NULL
R07AA30	NULL
R07AB01	NULL
R07AB02	NULL
R07AB03	NULL
R07AB04	NULL
R07AB05	NULL
R07AB06	NULL
R07AB07	NULL
R07AB08	NULL
R07AB09	NULL
R07AB52	NULL
R07AB53	NULL
R07AX01	NULL
S01AA02	NULL
S01AA03	NULL
S01AA04	NULL
S01AA05	NULL
S01AA07	NULL
S01AA09	NULL
S01AA10	NULL
S01AA11	NULL
S01AA13	NULL
S01AA14	NULL
S01AA15	NULL
S01AA16	NULL
S01AA17	NULL
S01AA18	NULL
S01AA19	NULL
S01AA20	NULL
S01AA21	NULL
S01AA22	NULL
S01AA23	NULL
S01AA24	NULL
S01AA25	NULL
S01AA26	NULL
S01AA30	NULL
S01AB01	NULL
S01AB02	NULL
S01AB03	NULL
S01AB04	NULL
S01AB05	NULL
S01AD01	NULL
S01AD02	NULL
S01AD05	NULL
S01AD06	NULL
S01AD07	NULL
S01AD08	NULL
S01AD09	NULL
S01AX01	NULL
S01AX02	NULL
S01AX03	NULL
S01AX04	NULL
S01AX05	NULL
S01AX06	NULL
S01AX07	NULL
S01AX08	NULL
S01AX09	NULL
S01AX10	NULL
S01AX11	NULL
S01AX12	NULL
S01AX13	NULL
S01AX14	NULL
S01AX15	NULL
S01AX16	NULL
S01AX17	NULL
S01AX18	Povidona yodada
\n---
S01AX19	NULL
S01AX21	NULL
S01BA02	NULL
S01BA03	NULL
S01BA05	NULL
S01BA06	NULL
S01BA08	NULL
S01BA09	NULL
S01BA10	NULL
S01BA11	NULL
S01BA12	NULL
S01BA13	NULL
S01BA14	NULL
S01BA15	NULL
S01BB01	NULL
S01BB02	NULL
S01BB03	NULL
S01BB04	NULL
S01BC01	NULL
S01BC02	NULL
S01BC04	NULL
S01BC05	NULL
S01BC06	NULL
S01BC07	NULL
S01BC08	NULL
S01BC09	NULL
S01BC10	NULL
S01CA02	NULL
S01CA03	NULL
S01CA04	NULL
S01CA05	NULL
S01CA06	NULL
S01CA07	NULL
S01CA08	NULL
S01CA09	NULL
S01CA10	NULL
S01CA11	NULL
S01CB01	NULL
S01CB02	NULL
S01CB03	NULL
S01CB04	NULL
S01CB05	NULL
S01CC01	NULL
S01EA01	NULL
S01EA02	NULL
S01EA03	NULL
S01EA04	NULL
S01EA05	NULL
S01EA51	NULL
S01EB01	NULL
S01EB02	NULL
S01EB03	NULL
S01EB04	NULL
S01EB05	NULL
S01EB06	NULL
S01EB07	NULL
S01EB08	NULL
S01EB09	NULL
S01EB10	NULL
S01EB51	NULL
S01EB58	NULL
S01EC02	NULL
S01EC04	NULL
S01EC05	NULL
S01ED02	NULL
S01ED03	NULL
S01ED04	NULL
S01ED05	NULL
S01ED06	NULL
S01ED51	NULL
S01ED52	NULL
S01ED54	NULL
S01ED55	NULL
S01EE02	NULL
S01EE03	NULL
S01EE04	NULL
S01EE05	NULL
S01EX01	NULL
S01EX02	NULL
S01FA02	NULL
S01FA03	NULL
S01FA04	NULL
S01FA05	NULL
S01FA56	NULL
S01FB01	NULL
S01FB02	NULL
S01FB03	NULL
S01GA01	NULL
S01GA02	NULL
S01GA03	NULL
S01GA04	NULL
S01GA05	NULL
S01GA06	NULL
S01GA51	NULL
S01GA52	NULL
S01GA53	NULL
S01GA55	NULL
S01GA56	NULL
S01GX01	NULL
S01GX02	NULL
S01GX03	NULL
S01GX04	NULL
S01GX05	NULL
S01GX06	NULL
S01GX07	NULL
S01GX08	NULL
S01GX09	NULL
S01GX10	NULL
S01GX51	NULL
S01HA01	NULL
S01HA02	NULL
S01HA03	NULL
S01HA04	NULL
S01HA05	NULL
S01HA06	NULL
S01HA07	NULL
S01HA30	NULL
S01JA01	NULL
S01JA02	NULL
S01JA51	NULL
S01KA01	NULL
S01KA02	NULL
S01KA51	NULL
S01KX01	NULL
S01XA01	NULL
S01XA02	NULL
S01XA03	NULL
S01XA04	NULL
S01XA05	NULL
S01XA06	NULL
S01XA07	NULL
S01XA08	NULL
S01XA09	NULL
S01XA10	NULL
S01XA11	NULL
S01XA12	NULL
S01XA13	NULL
S01XA14	NULL
S01XA15	NULL
S02AA01	NULL
S02AA02	NULL
S02AA03	NULL
S02AA04	NULL
S02AA05	NULL
S02AA06	NULL
S02AA07	NULL
S02AA08	NULL
S02AA09	NULL
S02AA10	NULL
S02AA11	NULL
S02AA12	NULL
S02AA13	NULL
S02AA14	NULL
S02AA15	NULL
S02AA30	NULL
S02BA01	NULL
S02BA03	NULL
S02BA06	NULL
S02BA07	NULL
S02CA01	NULL
S02CA02	NULL
S02CA03	NULL
S02CA04	NULL
S02CA05	NULL
S02CA06	NULL
S02CA07	NULL
S02DA01	NULL
S02DA02	NULL
S02DA30	NULL
S03AA01	NULL
S03AA02	NULL
S03AA03	NULL
S03AA04	NULL
S03AA05	NULL
S03AA06	NULL
S03AA07	NULL
S03AA08	NULL
S03AA30	NULL
S03BA01	NULL
S03BA02	NULL
S03BA03	NULL
S03CA01	NULL
S03CA02	NULL
S03CA04	NULL
S03CA05	NULL
S03CA06	NULL
V01AA01	NULL
V01AA02	NULL
V01AA03	NULL
V01AA04	NULL
V01AA05	NULL
V01AA07	NULL
V01AA08	NULL
V01AA09	NULL
V01AA10	NULL
V01AA11	NULL
V01AA20	NULL
V03AB01	NULL
V03AB02	NULL
V03AB03	NULL
V03AB05	NULL
V03AB06	NULL
V03AB08	NULL
V03AB09	NULL
V03AB13	NULL
V03AB16	NULL
V03AB17	NULL
V03AB18	NULL
V03AB19	NULL
V03AB20	NULL
V03AB21	NULL
V03AB22	NULL
V03AB24	NULL
V03AB26	NULL
V03AB27	NULL
V03AB29	NULL
V03AB31	NULL
V03AB32	NULL
V03AB33	NULL
V03AB34	NULL
V03AB35	NULL
V03AB36	NULL
V03AB43	NULL
V03AB44	NULL
V03AB45	NULL
V03AB46	NULL
V03AB47	NULL
V03AB48	NULL
V03AC01	NULL
V03AC02	NULL
V03AE01	NULL
V03AE02	NULL
V03AE03	NULL
V03AE04	NULL
V03AE05	NULL
V03AE06	NULL
V03AE07	NULL
V03AE08	NULL
V03AE09	NULL
V03AF04	NULL
V03AF06	NULL
V03AF07	NULL
V03AF08	NULL
V03AF09	NULL
V03AF10	NULL
V03AG01	NULL
V03AH01	NULL
V03AK01	NULL
V03AK50	NULL
V03AM01	NULL
V03AN01	NULL
V03AN02	NULL
V03AN03	NULL
V03AN04	Nitrógeno
\n---
V03AN05	NULL
V03AX02	NULL
V03AX03	NULL
V03AX10	NULL
V03AX50	NULL
V03AZ01	NULL
V04BA01	NULL
V04BA03	NULL
V04BA05	NULL
V04BA06	NULL
V04BA07	NULL
V04BA08	NULL
V04BA09	NULL
V04BA10	NULL
V04BA11	NULL
V04BA12	NULL
V04BA13	NULL
V04BA14	NULL
V04BA15	NULL
V04BA20	NULL
V04CA01	NULL
V04CA02	NULL
V04CA03	NULL
V04CA04	NULL
V04CA05	NULL
V04CA06	NULL
V04CA07	NULL
V04CA08	NULL
V04CB01	NULL
V04CC01	NULL
V04CC02	NULL
V04CC03	NULL
V04CC04	NULL
V04CD01	NULL
V04CD03	NULL
V04CD04	NULL
V04CD05	NULL
V04CE01	NULL
V04CE02	NULL
V04CF01	NULL
V04CG01	NULL
V04CG02	NULL
V04CG03	NULL
V04CG04	NULL
V04CG05	NULL
V04CG30	NULL
V04CH01	NULL
V04CH02	NULL
V04CH03	NULL
V04CH04	NULL
V04CH30	NULL
V04CJ01	NULL
V04CJ02	NULL
V04CJ03	NULL
V04CK01	NULL
V04CK02	NULL
V04CK03	NULL
V04CL01	NULL
V04CL02	NULL
V04CL10	NULL
V04CM01	NULL
V04CM02	NULL
V04CM03	NULL
V04CM04	NULL
V04CM05	NULL
V04CM20	NULL
V04CN01	NULL
V04CN02	NULL
V04CN03	NULL
V04CN04	NULL
V04CN05	NULL
V04CN06	NULL
V04CN07	NULL
V04CN08	NULL
V04CN09	NULL
V04CN10	NULL
V04CN11	NULL
V04CN12	NULL
V04CN13	NULL
V04CN14	NULL
V04CN15	NULL
V04CN20	NULL
V04CO01	NULL
V04CO02	NULL
V04CO03	NULL
V04CO04	NULL
V04CO20	NULL
V04CX03	NULL
V04CX04	NULL
V04CX05	NULL
V04CX06	NULL
V04CX07	NULL
V04CX08	NULL
V04CX09	NULL
V04CX10	NULL
V04CX12	NULL
V04CX13	NULL
V04CX14	NULL
V04CX15	NULL
V04CX16	NULL
V04CX17	NULL
V04CX18	NULL
V04CX21	NULL
V04CX22	NULL
V04CX23	NULL
V04CX24	NULL
V04CX25	NULL
V04CX26	NULL
V04CX27	NULL
V04CX28	NULL
V04CX29	NULL
V04CX31	NULL
V04CX32	NULL
V04CX50	NULL
V04CX51	NULL
V04CZ01	NULL
V04CZ02	NULL
V04CZ04	NULL
V04CZ05	NULL
V04CZ08	NULL
V04CZ09	NULL
V04CZ10	NULL
V06BA50	NULL
V06CA50	NULL
V06CX50	NULL
V06DA50	NULL
V06DB50	NULL
V06DB51	NULL
V06DB52	NULL
V06DC01	NULL
V06DC02	NULL
V06DC20	NULL
V06DC51	NULL
V06DD01	NULL
V06DD20	NULL
V06DX50	NULL
V07AB01	NULL
V07AB02	NULL
V07AB03	NULL
V07AD01	NULL
V07AI01	NULL
V07AI02	NULL
V07AN50	NULL
V07AY02	NULL
V08AA01	NULL
V08AA02	NULL
V08AA03	NULL
V08AA04	NULL
V08AA05	NULL
V08AA06	NULL
V08AA07	NULL
V08AA08	NULL
V08AA09	NULL
V08AA10	NULL
V08AA13	NULL
V08AA20	NULL
V08AB01	NULL
V08AB02	NULL
V08AB03	NULL
V08AB04	NULL
V08AB05	NULL
V08AB06	NULL
V08AB07	NULL
V08AB08	NULL
V08AB09	NULL
V08AB10	NULL
V08AB11	NULL
V08AB12	NULL
V08AB13	NULL
V08AC01	NULL
V08AC02	NULL
V08AC03	NULL
V08AC04	NULL
V08AC05	NULL
V08AC06	NULL
V08AC07	NULL
V08AC08	NULL
V08AC09	NULL
V08AC10	NULL
V08AD01	NULL
V08AD02	NULL
V08AD03	NULL
V08AD04	NULL
V08BA01	NULL
V08BA02	NULL
V08CA01	NULL
V08CA02	NULL
V08CA03	NULL
V08CA04	NULL
V08CA05	NULL
V08CA06	NULL
V08CA07	NULL
V08CA08	NULL
V08CA09	NULL
V08CA10	NULL
V08CA11	NULL
V08CB01	NULL
V08CB02	NULL
V08CB03	NULL
V08CX01	NULL
V08DA01	NULL
V08DA02	NULL
V08DA03	NULL
V08DA04	NULL
V08DA05	NULL
V08EA01	NULL
V09AA01	NULL
V09AA02	NULL
V09AB01	NULL
V09AB02	NULL
V09AB03	NULL
V09AX01	NULL
V09AX03	NULL
V09AX04	NULL
V09AX05	NULL
V09BA01	NULL
V09BA02	NULL
V09BA03	NULL
V09BA04	NULL
V09CA01	NULL
V09CA02	NULL
V09CA03	NULL
V09CA04	NULL
V09CA05	NULL
V09CA06	NULL
V09CX01	NULL
V09CX02	NULL
V09CX03	NULL
V09CX04	NULL
V09DA01	NULL
V09DA02	NULL
V09DA03	NULL
V09DA04	NULL
V09DA05	NULL
V09DB01	NULL
V09DB02	NULL
V09DB03	NULL
V09DB04	NULL
V09DB05	NULL
V09DB06	NULL
V09DB07	NULL
V09DX01	NULL
V09EA01	NULL
V09EA02	NULL
V09EA03	NULL
V09EB01	NULL
V09EB02	NULL
V09EX01	NULL
V09EX02	NULL
V09EX03	NULL
V09FX01	NULL
V09FX02	NULL
V09FX03	NULL
V09FX04	NULL
V09GA01	NULL
V09GA02	NULL
V09GA03	NULL
V09GA04	NULL
V09GA05	NULL
V09GA06	NULL
V09GA07	NULL
V09GB01	NULL
V09GB02	NULL
V09GX01	NULL
V09GX02	NULL
V09GX03	NULL
V09GX04	NULL
V09HA01	NULL
V09HA02	NULL
V09HA03	NULL
V09HA04	NULL
V09HB01	NULL
V09HB02	NULL
V09HX01	NULL
V09IA01	NULL
V09IA02	NULL
V09IA03	NULL
V09IA04	NULL
V09IA05	NULL
V09IA06	NULL
V09IA07	NULL
V09IB01	NULL
V09IB02	NULL
V09IB03	NULL
V09IB04	NULL
V09IX01	NULL
V09IX02	NULL
V09IX03	NULL
V09IX04	NULL
V09IX05	NULL
V09IX06	NULL
V09IX07	NULL
V09IX08	NULL
V09XA01	NULL
V09XA02	NULL
V09XA03	NULL
V09XX01	NULL
V09XX02	NULL
V09XX03	NULL
V09XX04	NULL
V10AA01	NULL
V10AA02	NULL
V10AA03	NULL
V10AX01	NULL
V10AX02	NULL
V10AX03	NULL
V10AX04	NULL
V10AX05	NULL
V10AX06	NULL
V10BX01	NULL
V10BX02	NULL
V10BX03	NULL
V10XA01	NULL
V10XA02	NULL
V10XA53	NULL
V10XX01	NULL
V10XX02	NULL
V70AA01	NULL
V70AA02	NULL
